Title,Date added,Template,Vulnerable Population?,Age Range,Named Detainee,Gender,Status,Event 1 Date Range,Event 1 Violations,Event 2 Date Range,Event 2 Violations,Event 3 Date Range,Event 3 Violation,Related Penal Facilities,Province Where the Penal Facility is Located,Penal Facility Affiliation,Related Type of Penal Facility,Documents,Attachments,Published
A0801,14/08/2021,Detainees,"Women|Children",10-19,Unnamed,Female,Unknown,01/12/2001~31/01/2002,"Violation of the Rights of Children_A0801|Violation of Freedom of Expression_A0801|Violation of Right to Health_A0801",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A0800,14/08/2021,Detainees,"Women|Children",10-19,Named,Female,Released from all facilities,01/12/2001~31/01/2002,"Violation of the Rights of Children_1_A0800|Arbitrary Deprivation of Liberty_A0800|Violation of Right to Health_2_A0800|Violation of Freedom of Expression_2_A0800|Violation of Freedom of Expression_1_A0800|Violation of Right to Health_1_A0800
|Violation of the Rights of Children_2_A0800",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A0799,14/08/2021,Detainees,"Women|Detainees with Disabilities ",30-39,Unnamed,Female,Released from all facilities,01/01/2002~31/01/2002,"Violation of the Rights of Detainees with Disabilities_A0799|Violation of Freedom of Expression_A0799|Violation of Right to Health_A0799",,,,,Onsong County Labour Training Centre,North Hamgyong,People's Committee of North Korea,Labour Training Centre,,,Published
A0798,14/08/2021,Detainees,Detainees with Disabilities ,40-49,Unnamed,Male,Unknown,01/12/2001~31/01/2002,"Violation of the Rights of Detainees with Disabilities_A0798|Violation of Freedom of Expression_A0798|Arbitrary Deprivation of Liberty_A0798|Violation of Right to Health_A0798",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A0704,12/08/2021,Detainees,"Women|Pregnant Women",Unknown,Partially named,Female,Unknown,01/03/2012~31/10/2012,"Torture & CID_A0704|Violation of Right to Health_A0704|Violation of Freedom of Expression_A0704",,,,,Ryanggang Provincial MPS Holding Centre,Ryanggang,Ministry of People's Security,Holding Centre,,,Published
A0703,12/08/2021,Detainees,Children,10-19,Named,Male,Unknown,01/03/2012~31/03/2012,"Violation of Freedom of Expression_A0703|Violation of Right to Health_A0703|Violation of the Rights of Children_A0703",,,,,Ryanggang Provincial MSS Detention Centre,Ryanggang,Ministry of State Security,Detention Centre,,,Published
A0702,12/08/2021,Detainees,Children,10-19,Named,Male,Unknown,01/03/2012~31/03/2012,"Violation of Right to Health_A0702|Violation of Freedom of Expression_A0702|Violation of the Rights of Children_A0702",,,,,Ryanggang Provincial MSS Detention Centre,Ryanggang,Ministry of State Security,Detention Centre,,,Published
A0701,12/08/2021,Detainees,"Children|Women",0-9,Partially named,Female,Unknown,01/03/2012~31/03/2012,"Violation of the Rights of Children_A0701|Violation of Freedom of Expression_A0701|Violation of Right to Health_A0701",,,,,Ryanggang Provincial MSS Detention Centre,Ryanggang,Ministry of State Security,Detention Centre,,,Published
A0700,12/08/2021,Detainees,Detainees with Disabilities ,50-59,Unnamed,Male,Unknown,01/03/2012~31/10/2012,"Violation of the Rights of Detainees with Disabilities_A0700|Arbitrary Deprivation of Liberty_A0700|Violation of Freedom of Expression_A0700|Violation of Right to Health_A0700",,,,,Ryanggang Provincial MPS Holding Centre,Ryanggang,Ministry of People's Security,Holding Centre,,,Published
A0699,12/08/2021,Detainees,N/A,20-29,Unnamed,Male,Death in custody,01/03/2012~31/10/2012,"Violation of Freedom of Expression_A0699|Violation of the Right to Life_A0699|Violation of Right to Health_A0699",,,,,Ryanggang Provincial MPS Holding Centre,Ryanggang,Ministry of People's Security,Holding Centre,,,Published
A0698,12/08/2021,Detainees,N/A,50-59,Unnamed,Male,Death in custody,01/03/2012~31/10/2012,"Violation of the Right to Life_A0698|Violation of Right to Health_A0698|Violation of Freedom of Expression_A0698",,,,,Ryanggang Provincial MPS Holding Centre,Ryanggang,Ministry of People's Security,Holding Centre,,,Published
A0697,12/08/2021,Detainees,Women,20-29,Unnamed,Female,Unknown,01/03/2012~31/10/2012,"Rape & Other Forms of Sexual Violence_A0697|Violation of Freedom of Expression_A0697|Violation of Right to Health_A0697|Sexual and Gender-based Violence_A0697",,,,,Ryanggang Provincial MPS Holding Centre,Ryanggang,Ministry of People's Security,Holding Centre,,,Published
A0696,12/08/2021,Detainees,Women,40-49,Named,Female,Released from all facilities,01/03/2012~31/08/2012,"Torture & CID_1_A0696|Arbitrary Deprivation of Liberty_A0696|Forced Labour_A0696|Violation of Freedom of Expression_1_A0696|Violation of Right to Health_2_A0696|Violation of Right to Health_1_A0696|Torture & CID_2_A0696|Violation of Freedom of Expression_2_A0696",,,,,"Ryanggang Provincial MPS Holding Centre|Ryanggang Provincial MSS Detention Centre","Ryanggang|Ryanggang","Ministry of People's Security|Ministry of State Security","Holding Centre|Detention Centre",,,Published
A0767,12/08/2021,Detainees,Women,20-29,Named,Female,Death in custody,01/05/2010~30/09/2010,"Violation of the Right to Life_A0767|Violation of Freedom of Expression_A0767|Violation of the Right to Freedom of Conscience, Thought and Religion_A0767|Violation of Right to Health_A0767|Forced Labour_A0767",,,,,Kaechon Re-education Camp,South Pyongan,Ministry of People's Security,Re-education Camp ,,,Published
A0766,12/08/2021,Detainees,Women,20-29,Named,Female,Deceased,01/11/2004~31/05/2008,"Violation of Freedom of Expression_A0766|Violation of Right to Health_A0766|Violation of the Right to Freedom of Conscience, Thought and Religion_A0766",,,,,"Oro Re-education Camp |Samjiyon County MPS Detention Centre","South Hamgyong|Ryanggang","Ministry of People's Security|Ministry of People's Security","Re-education Camp |Detention Centre",,,Published
A0658,12/08/2021,Detainees,Children,0-9,Unnamed,Male,Unknown,01/04/2003~30/06/2003,"Violation of the Rights of Children_A0658|Violation of Freedom of Expression_A0658|Violation of Right to Health_A0658
",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A0765,12/08/2021,Detainees,Women,30-39,Named,Female,Deceased,01/11/2004~31/05/2009,"Violation of Right to Health_A0765|Violation of Freedom of Expression_A0765|Violation of the Right to Freedom of Conscience, Thought and Religion_A0765",,,,,"Oro Re-education Camp |Samjiyon County MPS Detention Centre","South Hamgyong|Ryanggang","Ministry of People's Security|Ministry of People's Security","Re-education Camp |Detention Centre",,,Published
A0764,12/08/2021,Detainees,Women,30-39,Named,Female,Released from all facilities,01/11/2004~30/09/2010,"Arbitrary Deprivation of Liberty_A0764|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A0764|Violation of Freedom of Expression_2_A0764|Violation of Right to Health_1_A0764|Violation of Freedom of Expression_1_A0764|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A0764|Torture & CID_1_A0764|Torture & CID_2_A0764|Violation of the Right to a Fair Trial_A0764|Forced Labour_A0764|Violation of Right to Health_2_A0764",,,,,"Samjiyon County MPS Detention Centre|Kaechon Re-education Camp","Ryanggang|South Pyongan","Ministry of People's Security|Ministry of People's Security","Detention Centre|Re-education Camp ",,,Published
A0656,12/08/2021,Detainees,Women,30-39,Named,Female,Released from all facilities,01/04/2003~31/08/2003,"Arbitrary Deprivation of Liberty_A0656|Violation of Freedom of Expression_1_A0656|Violation of Freedom of Expression_2_A0656|Violation of Right to Health_1_A0656|Violation of Right to Health_2_A0656|Torture & CID_2_A0656|Torture & CID_1_A0656",,,,,"Onsong County MSS Detention Centre|Pukchong County MPS Detention Centre","North Hamgyong|South Hamgyong","Ministry of State Security|Ministry of People's Security","Detention Centre|Detention Centre",,,Published
A0653,12/08/2021,Detainees,"Children|Women",10-19,Named,Female,Unknown,01/03/2003~30/06/2003,"Violation of the Rights of Children_A0653|Violation of Freedom of Expression_A0653|Violation of Right to Health_A0653",,,,,Hoeryong City Labour Training Centre,North Hamgyong,People's Committee of North Korea,Labour Training Centre,,,Published
A0652,12/08/2021,Detainees,"Women|Children",10-19,Named,Female,Unknown,01/02/2003~31/03/2003,"Violation of the Right to Freedom of Conscience, Thought and Religion_A0652|Violation of Right to Health_A0652
|Violation of Freedom of Expression_A0652",,,,,Hoeryong City MPS Detention Centre,North Hamgyong,Ministry of People's Security,Detention Centre,,,Published
A0651,12/08/2021,Detainees,Women,50-59,Named,Female,Released from all facilities,01/02/2003~30/06/2003,"Violation of Right to Health_2_A0651|Violation of Right to Health_1_A0651|Arbitrary Deprivation of Liberty_A0651|Violation of Right to Health_3_A0651|Forced Labour_A0651|Torture & CID_1_A0651|Violation of Freedom of Expression_2_A0651|Torture & CID_2_A0651|Violation of Freedom of Expression_3_A0651|Violation of Freedom of Expression_1_A0651|Torture & CID_3_A0651",,,,,"Hoeryong City Labour Training Centre|Hoeryong City MPS Detention Centre|Hoeryong City Korean People's Army Regiment Detention Centre","North Hamgyong|North Hamgyong|North Hamgyong","People's Committee of North Korea|Ministry of People's Security|Korean People’s Army","Labour Training Centre|Detention Centre|Detention Centre",,,Published
A0829,11/08/2021,Detainees,Women,40-49,Moniker,Female,Unknown,01/07/2004~31/07/2004,"Arbitrary Deprivation of Liberty_A0829|Violation of Freedom of Expression_A0829|Violation of Right to Health_A0829|Violation of the Right to Freedom of Conscience, Thought and Religion_A0829",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A0828,11/08/2021,Detainees,"Women|Children",30-39,Named,Female,Death in custody,01/07/2004~31/07/2004,"Arbitrary Deprivation of Liberty_A0828|Violation of the Right to Life_A0828|Violation of Freedom of Expression_A0828|Violation of Right to Health_A0828|Violation of the Right to Freedom of Conscience, Thought and Religion_A0828|Sexual and Gender-based Violence_A0828|Torture & CID_A0828",,,,"Arbitrary Deprivation of Liberty_A0828|Violation of Freedom of Expression_A0828|Violation of Right to Health_A0828|Violation of the Right to Freedom of Conscience, Thought and Religion_A0828|Violation of the Right to Life_A0828",Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A0827,11/08/2021,Detainees,Children,10-19,Unnamed,Male,Unknown,01/07/2004~31/07/2004,"Violation of the Right to Freedom of Conscience, Thought and Religion_A0827|Violation of the Rights of Children_A0827|Arbitrary Deprivation of Liberty_A0827|Violation of Freedom of Expression_A0827|Violation of Right to Health_A0827",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A0826,11/08/2021,Detainees,Women,30-39,Unnamed,Female,Unknown,01/07/2004~31/07/2004,"Rape & Other Forms of Sexual Violence_A0826|Violation of Freedom of Expression_1_A0826|Violation of Freedom of Expression_2_A0826|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A0826|Violation of Right to Health_A0826|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A0826|Sexual and Gender-based Violence_A0826",,,,,"Onsong County Labour Training Centre|Onsong County MSS Detention Centre","North Hamgyong|North Hamgyong","People's Committee of North Korea|Ministry of State Security","Labour Training Centre|Detention Centre",,,Published
A0825,11/08/2021,Detainees,"Children|Women",10-19,Named,Female,Released from all facilities,01/07/2004~31/07/2004,"Violation of Freedom of Expression_1_A0825|Arbitrary Deprivation of Liberty_A0825|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A0825|Violation of Freedom of Expression_2_A0825|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A0825|Violation of the Rights of Children_A0825|Violation of Right to Health_A0825|Sexual and Gender-based Violence_A0825",,,,,"Onsong County Labour Training Centre|Onsong County MSS Detention Centre","North Hamgyong|North Hamgyong","People's Committee of North Korea|Ministry of State Security","Labour Training Centre|Detention Centre",,,Published
A0824,11/08/2021,Detainees,Women,40-49,Named,Female,Released from all facilities,01/07/2004~31/07/2004,"Violation of the Right to Freedom of Conscience, Thought and Religion_2_A0824|Rape & Other Forms of Sexual Violence_A0824|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A0824|Violation of Freedom of Expression_1_A0824|Arbitrary Deprivation of Liberty_A0824|Violation of the Right to a Fair Trial_A0824|Torture & CID_A0824|Violation of Freedom of Expression_2_A0824|Violation of Right to Health_A0824|Sexual and Gender-based Violence_A0824",,,,"Arbitrary Deprivation of Liberty_A0824|Violation of Freedom of Expression_1_A0824|Violation of Freedom of Expression_2_A0824|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A0824","Onsong County MSS Detention Centre|Onsong County Labour Training Centre","North Hamgyong|North Hamgyong","Ministry of State Security|People's Committee of North Korea","Detention Centre|Labour Training Centre",,,Published
A0627,11/08/2021,Detainees,Women,20-29,Named,Female,Released from all facilities,01/03/2004~31/05/2004,"Violation of Right to Health_2_A0627|Violation of Freedom of Expression_3_A0627|Violation of Freedom of Expression_2_A0627|Violation of Right to Health_1_A0627|Violation of Freedom of Expression_1_A0627|Violation of Right to Health_3_A0627|Forced Labour_A0627|Torture & CID_1_A0627|Torture & CID_2_A0627|Arbitrary Deprivation of Liberty_A0627|Torture & CID_3_A0627",,,,,"Onsong County MSS Detention Centre|Chongjin City Ranam District MPS Detention Centre|Chongjin City No.2 Economy Labour Training Centre","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security|People's Committee of North Korea","Detention Centre|Detention Centre|Labour Training Centre",,,Published
A0620,11/08/2021,Detainees,Women,30-39,Named,Female,Released from all facilities,01/04/2004~31/05/2004,"Violation of Freedom of Expression_A0620|Arbitrary Deprivation of Liberty_A0620|Violation of Right to Health_A0620|Forced Labour_A0620|Torture & CID_A0620",,,,,North Hamgyong Provincial MPS Holding Centre (Traveller),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A0758,11/08/2021,Detainees,N/A,50-59,Moniker,Male,Unknown,01/09/2012~30/09/2012,"Violation of Freedom of Expression_A0758|Violation of Right to Health_A0758|Violation of the Right to Freedom of Conscience, Thought and Religion_A0758",,,,,North Pyongan Provincial MSS Detention Centre,North Pyongan,Ministry of State Security,Detention Centre,,,Published
A0757,11/08/2021,Detainees,Women,30-39,Unnamed,Female,Unknown,01/10/2012~31/12/2012,"Torture & CID_A0757|Violation of Freedom of Expression_A0757|Violation of Right to Health_A0757|Violation of the Right to Freedom of Conscience, Thought and Religion_A0757",,,,,North Pyongan Provincial MPS Holding Centre ,North Pyongan,Ministry of People's Security,Holding Centre,,,Published
A0756,11/08/2021,Detainees,Women,20-29,Partially named,Female,Unknown,01/09/2012~30/09/2012,"Arbitrary Deprivation of Liberty_A0756|Violation of Freedom of Expression_A0756|Violation of the Right to Freedom of Conscience, Thought and Religion_A0756|Violation of Right to Health_A0756",,,,,North Pyongan Provincial MSS Detention Centre,North Pyongan,Ministry of State Security,Detention Centre,,,Published
A0755,11/08/2021,Detainees,Women,30-39,Named,Female,Released from all facilities,01/09/2012~31/12/2012,"Violation of Freedom of Expression_2_A0755|Arbitrary Deprivation of Liberty_A0755|Violation of Freedom of Expression_1_A0755|Violation of Right to Health_1_A0755|Violation of Right to Health_2_A0755|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A0755|Rape & Other Forms of Sexual Violence_A0755|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A0755|Torture & CID_1_A0755|Torture & CID_2_A0755|Violation of the Right to a Fair Trial_A0755|Sexual and Gender-based Violence_A0755",,,,,"North Pyongan Provincial MPS Holding Centre |North Pyongan Provincial MSS Detention Centre","North Pyongan|North Pyongan","Ministry of People's Security|Ministry of State Security","Holding Centre|Detention Centre",,,Published
A0593,11/08/2021,Detainees,"Children|Women",10-19,Unnamed,Female,Unknown,01/02/2005~28/02/2005,"Violation of the Rights of Children_A0593|Violation of Freedom of Expression_A0593|Violation of Right to Health_A0593",,,,,Musan County Korean People's Army Regiment Base,North Hamgyong,Korean People’s Army,Detention Centre,,,Published
A0592,11/08/2021,Detainees,Women,40-49,Named,Female,Released from all facilities,01/02/2005~31/03/2005,"Violation of Freedom of Expression_1_A0592|Arbitrary Deprivation of Liberty_A0592|Violation of Right to Health_1_A0592|Violation of Freedom of Expression_2_A0592|Torture & CID_1_A0592|Violation of Right to Health_2_A0592|Torture & CID_2_A0592",,,,,"Musan County Korean People's Army Regiment Base|Musan County MPS Detention Centre","North Hamgyong|North Hamgyong","Korean People’s Army|Ministry of People's Security","Detention Centre|Detention Centre",,,Published
A0743,11/08/2021,Detainees,Women,30-39,Named,Female,Released from all facilities,01/03/2003~31/03/2003,"Arbitrary Deprivation of Liberty_A0743|Violation of Freedom of Expression_A0743|Violation of Right to Health_A0743|Violation of the Right to Freedom of Conscience, Thought and Religion_A0743",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A0742,11/08/2021,Detainees,N/A,30-39,Unnamed,Male,Circumstantial evidence of transfer to a political prison camp ,01/02/2003~30/04/2003,"Arbitrary Deprivation of Liberty_A0742|Violation of Freedom of Expression_2_A0742|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A0742|Violation of Freedom of Expression_1_A0742|Violation of Right to Health_1_A0742|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A0742|Violation of Right to Health_2_A0742",,,,,"Onsong County MSS Detention Centre|North Pyongan Provincial MSS Detention Centre","North Hamgyong|North Pyongan","Ministry of State Security|Ministry of State Security","Detention Centre|Detention Centre",,,Published
A0741,11/08/2021,Detainees,Children,10-19,Unnamed,Male,Transferred to further penal facility,01/02/2003~30/04/2003,"Arbitrary Deprivation of Liberty_A0741|Violation of the Rights of Children_1_A0741|Violation of the Rights of Children_2_A0741|Violation of Freedom of Expression_1_A0741|Violation of Freedom of Expression_2_A0741|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A0741|Violation of Right to Health_1_A0741|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A0741|Violation of Right to Health_2_A0741",,,,,"Onsong County MSS Detention Centre|North Pyongan Provincial MSS Detention Centre","North Hamgyong|North Pyongan","Ministry of State Security|Ministry of State Security","Detention Centre|Detention Centre",,,Published
A0740,11/08/2021,Detainees,"Women|Children",10-19,Unnamed,Female,Unknown,01/02/2003~30/04/2003,"Violation of the Rights of Children_1_A0740|Arbitrary Deprivation of Liberty_A0740|Violation of the Rights of Children_2_A0740|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A0740|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A0740|Violation of Freedom of Expression_1_A0740|Violation of Right to Health_2_A0740|Violation of Right to Health_1_A0740|Violation of Freedom of Expression_2_A0740",,,,,"Onsong County MSS Detention Centre|North Pyongan Provincial MSS Detention Centre","North Hamgyong|North Pyongan","Ministry of State Security|Ministry of State Security","Detention Centre|Detention Centre",,,Published
A0739,11/08/2021,Detainees,Women,30-39,Unnamed,Female,Transferred to further penal facility,01/02/2003~28/02/2003,"Violation of Freedom of Expression_A0739|Violation of Right to Health_A0739|Violation of the Right to Freedom of Conscience, Thought and Religion_A0739",,,,,North Pyongan Provincial MSS Detention Centre,North Pyongan,Ministry of State Security,Detention Centre,,,Published
A0738,11/08/2021,Detainees,N/A,30-39,Unnamed,Male,Death in custody,01/02/2003~28/02/2003,"Violation of the Right to Life_A0738|Violation of Freedom of Expression_A0738|Violation of the Right to Freedom of Conscience, Thought and Religion_A0738|Violation of Right to Health_A0738",,,,,North Pyongan Provincial MSS Detention Centre,North Pyongan,Ministry of State Security,Detention Centre,,,Published
A0737,11/08/2021,Detainees,Women,20-29,Named,Female,Unknown,01/02/2003~28/02/2003,"Arbitrary Deprivation of Liberty_A0737|Torture & CID_A0737|Violation of Freedom of Expression_A0737|Violation of the Right to Freedom of Conscience, Thought and Religion_A0737|Violation of Right to Health_A0737",,,,,North Pyongan Provincial MSS Detention Centre,North Pyongan,Ministry of State Security,Detention Centre,,,Published
A0736,11/08/2021,Detainees,Children,10-19,Named,Male,Released from all facilities,01/02/2003~30/04/2003,"Violation of the Rights of Children_1_A0736|Arbitrary Deprivation of Liberty_A0736|Violation of the Rights of Children_2_A0736|Violation of Freedom of Expression_1_A0736|Violation of Freedom of Expression_2_A0736|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A0736|Violation of Right to Health_2_A0736|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A0736|Violation of Right to Health_1_A0736",,,,,"Onsong County MSS Detention Centre|North Pyongan Provincial MSS Detention Centre","North Hamgyong|North Pyongan","Ministry of State Security|Ministry of State Security","Detention Centre|Detention Centre",,,Published
A0735,11/08/2021,Detainees,"Women|Children",10-19,Named,Female,Released from all facilities,01/02/2003~30/04/2003,"Arbitrary Deprivation of Liberty_A0735|Violation of the Rights of Children_1_A0735|Violation of the Rights of Children_2_A0735|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A0735|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A0735|Violation of Right to Health_1_A0735|Violation of Freedom of Expression_1_A0735|Violation of Freedom of Expression_2_A0735|Violation of Right to Health_2_A0735",,,,,"Onsong County MSS Detention Centre|North Pyongan Provincial MSS Detention Centre","North Hamgyong|North Pyongan","Ministry of State Security|Ministry of State Security","Detention Centre|Detention Centre",,,Published
A0734,11/08/2021,Detainees,Women,30-39,Named,Female,Released from all facilities,01/02/2003~30/04/2003,"Violation of Right to Health_1_A0734|Violation of Right to Health_2_A0734|Violation of the Right to a Fair Trial_A0734|Arbitrary Deprivation of Liberty_A0734|Rape & Other Forms of Sexual Violence_A0734|Torture & CID_2_A0734|Torture & CID_1_A0734|Violation of Freedom of Expression_1_A0734|Violation of Freedom of Expression_2_A0734|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A0734|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A0734|Sexual and Gender-based Violence_A0734",,,,,"Onsong County MSS Detention Centre|North Pyongan Provincial MSS Detention Centre","North Hamgyong|North Pyongan","Ministry of State Security|Ministry of State Security","Detention Centre|Detention Centre",,,Published
A0587,11/08/2021,Detainees,N/A,50-59,Unnamed,Male,Unknown,01/05/1999~31/12/1999,"Arbitrary Deprivation of Liberty_A0587|Violation of Freedom of Expression_A0587|Violation of Right to Health_A0587",,,,,Pyongyang City National MSS Detention Centre,Pyongyang,Ministry of State Security,Detention Centre,,,Published
A0586,11/08/2021,Detainees,N/A,50-59,Unnamed,Male,Unknown,01/05/1999~31/12/1999,"Arbitrary Deprivation of Liberty_A0586|Violation of Freedom of Expression_A0586|Violation of Right to Health_A0586",,,,,Pyongyang City National MSS Detention Centre,Pyongyang,Ministry of State Security,Detention Centre,,,Published
A0585,11/08/2021,Detainees,N/A,40-49,Unnamed,Male,Unknown,01/05/1999~31/12/1999,"Arbitrary Deprivation of Liberty_A0585|Violation of Freedom of Expression_A0585|Violation of Right to Health_A0585",,,,,Pyongyang City National MSS Detention Centre,Pyongyang,Ministry of State Security,Detention Centre,,,Published
A0584,11/08/2021,Detainees,N/A,40-49,Named,Male,Released from all facilities,01/04/1999~31/12/1999,"Torture & CID_1_A0584|Arbitrary Deprivation of Liberty_A0584|Torture & CID_2_A0584|Violation of Right to Health_2_A0584|Violation of Freedom of Expression_2_A0584|Violation of Right to Health_1_A0584|Violation of Freedom of Expression_1_A0584",,,,,"North Pyongan Provincial MSS Detention Centre|Pyongyang City National MSS Detention Centre","North Pyongan|Pyongyang","Ministry of State Security|Ministry of State Security","Detention Centre|Detention Centre",,,Published
A0797,10/08/2021,Detainees,Women,30-39,Named,Female,Released from all facilities,01/12/2001~31/01/2002,"Violation of Freedom of Expression_1_A0797|Arbitrary Deprivation of Liberty_A0797|Violation of Right to Health_1_A0797|Violation of Right to Health_2_A0797|Violation of Freedom of Expression_2_A0797|Forced Labour_A0797|Torture & CID_1_A0797|Rape & Other Forms of Sexual Violence_A0797|Torture & CID_2_A0797|Sexual and Gender-based Violence_1_A0797|Sexual and Gender-based Violence_2_A0797",,,,,"Onsong County Labour Training Centre|Onsong County MSS Detention Centre","North Hamgyong|North Hamgyong","People's Committee of North Korea|Ministry of State Security","Labour Training Centre|Detention Centre",,,Published
A0565,10/08/2021,Detainees,Detainees with Disabilities ,30-39,Unnamed,Male,Unknown,01/09/2006~30/09/2006,"Violation of the Rights of Detainees with Disabilities_A0565|Violation of Freedom of Expression_A0565|Violation of Right to Health_A0565",,,,,Hyesan City MPS Detention Centre,Ryanggang,Ministry of People's Security,Detention Centre,,,Published
A0564,10/08/2021,Detainees,Detainees with Disabilities ,40-49,Named,Male,Unknown,01/08/2006~30/09/2006,"Violation of the Rights of Detainees with Disabilities_A0564|Violation of Freedom of Expression_A0564|Violation of Right to Health_A0564",,,,,Hyesan City Mine MPS Detention Centre,Ryanggang,Ministry of People's Security,Detention Centre,,,Published
A0563,10/08/2021,Detainees,N/A,20-29,Unnamed,Male,Unknown,01/08/2006~30/09/2006,"Arbitrary Deprivation of Liberty_A0563|Violation of Right to Health_A0563|Violation of Freedom of Expression_A0563",,,,,Hyesan City Mine MPS Detention Centre,Ryanggang,Ministry of People's Security,Detention Centre,,,Published
A0562,10/08/2021,Detainees,N/A,50-59,Named,Male,Unknown,01/08/2006~30/09/2006,"Arbitrary Deprivation of Liberty_A0562|Violation of Freedom of Expression_A0562|Violation of Right to Health_A0562",,,,,Hyesan City Mine MPS Detention Centre,Ryanggang,Ministry of People's Security,Detention Centre,,,Published
A0813,10/08/2021,Detainees,Women,30-39,Named,Female,Released from all facilities,01/12/2006~31/07/2007,"Torture & CID_1_A0813|Arbitrary Deprivation of Liberty_A0813|Torture & CID_2_A0813|Torture & CID_3_A0813|Violation of Right to Health_2_A0813|Violation of Right to Health_1_A0813|Violation of Freedom of Expression_3_A0813|Violation of Right to Health_3_A0813|Violation of Freedom of Expression_1_A0813|Violation of the Right to Freedom of Conscience, Thought and Religion_3_A0813|Rape & Other Forms of Sexual Violence_1_A0813|Rape & Other Forms of Sexual Violence_2_A0813|Forced Labour_A0813|Violation of Freedom of Expression_2_A0813|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A0813|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A0813|Sexual and Gender-based Violence_1_A0813|Sexual and Gender-based Violence_2_A0813",,,,,"Chagang Provincial MPS Holding Centre (Manpo)|Manpo City MSS Detention Centre|Hoeryong City MPS Detention Centre","Chagang|Chagang|North Hamgyong","Ministry of People's Security|Ministry of State Security|Ministry of People's Security","Holding Centre|Detention Centre|Detention Centre",,,Published
A0561,10/08/2021,Detainees,N/A,40-49,Named,Male,Released from all facilities,01/08/2006~30/09/2006,"Violation of Freedom of Expression_1_A0561|Torture & CID_1_A0561|Torture & CID_2_A0561|Violation of Freedom of Expression_2_A0561|Arbitrary Deprivation of Liberty_A0561|Violation of Right to Health_2_A0561|Violation of Right to Health_1_A0561",,,,,"Hyesan City Mine MPS Detention Centre|Hyesan City MPS Detention Centre","Ryanggang|Ryanggang","Ministry of People's Security|Ministry of People's Security","Detention Centre|Detention Centre",,,Published
A0544,10/08/2021,Detainees,Detainees with Disabilities ,40-49,Unnamed,Male,Unknown,01/05/2002~31/01/2003,"Violation of the Rights of Detainees with Disabilities_A0544|Violation of Freedom of Expression_A0544|Violation of Right to Health_A0544",,,,,North Hamgyong Provincial MSS Detention Centre ,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A0543,10/08/2021,Detainees,Women,20-29,Unnamed,Female,Death in custody,01/05/2002~31/05/2002,"Violation of the Right to Life_A0543|Violation of Freedom of Expression_A0543|Violation of Right to Health_A0543",,,,,North Pyongan Provincial MPS Holding Centre ,North Pyongan,Ministry of People's Security,Holding Centre,,,Published
A0542,10/08/2021,Detainees,Women,50-59,Unnamed,Female,Death in custody,01/05/2002~31/05/2002,"Violation of the Right to Life_A0542|Violation of Freedom of Expression_A0542|Violation of Right to Health_A0542",,,,,North Pyongan Provincial MPS Holding Centre ,North Pyongan,Ministry of People's Security,Holding Centre,,,Published
